,Buried_Volume_C_MMFF,Buried_Volume_H_max_MFF,Pyramidalization_C_MFF,Pyramidalization_H_max_MFF,Reactant_SMILES,Atom_nº,bde_avg,Reactive Atom,DOI
122,0.343529588,0.23793369,0.096477472,-0.056878777,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,23,0.0608436,16,10.1021/jo00045a004
123,0.094504098,0.155390396,0.101808119,-0.023712148,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,24,0.0381157,16,10.1021/jo00045a004
124,0.09846529,0.065354875,0.100911682,-0.023012812,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,25,0.0581787,16,10.1021/jo00045a004
125,-0.035893743,0.049737951,0.11570063,-0.002661706,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,27,-0.0180829,16,10.1021/jo00045a004
126,-0.359718302,-0.229715316,0.06835591,0.014932618,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,0,0.0158347,18,10.1021/jo00045a004
127,0.162147189,0.040523355,0.093600032,-0.042829403,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,4,0.0267379,18,10.1021/jo00045a004
128,-0.031329761,-0.079055019,0.0833165,-0.016583741,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,5,0.0310769,18,10.1021/jo00045a004
129,0.098950393,0.077482472,0.11503355,-0.02850892,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,6,0.0675897,18,10.1021/jo00045a004
130,-0.014806138,0.12947228,0.116357967,-0.002789558,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,8,0.0238967,18,10.1021/jo00045a004
131,0.278837298,0.190463658,0.098583647,-0.054821331,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,9,0.0650138,18,10.1021/jo00045a004
