,C_spX,n_Csp3,num_C,num_H,num_N,num_O,Reactant_SMILES,Atom_nº,bde_avg,Reactive Atom,DOI
106,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,4,0.061036,16,10.1021/jo00045a004
107,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,5,0.0417618,16,10.1021/jo00045a004
108,-0.135613928,0.493178579,0.362858888,-0.39584606,-0.015271839,-0.063225412,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,6,0.1160211,16,10.1021/jo00045a004
109,-0.135613928,-0.173488088,-0.303807778,0.60415394,-0.015271839,-0.063225412,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,7,-0.0317011,16,10.1021/jo00045a004
110,-0.135613928,0.493178579,0.362858888,-0.39584606,-0.015271839,-0.063225412,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,8,0.1572165,16,10.1021/jo00045a004
111,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,9,0.0666513,16,10.1021/jo00045a004
112,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,10,0.0668662,16,10.1021/jo00045a004
113,-0.135613928,0.493178579,0.362858888,-0.39584606,-0.015271839,-0.063225412,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,11,0.1019016,16,10.1021/jo00045a004
114,-0.135613928,0.493178579,0.362858888,-0.39584606,-0.015271839,-0.063225412,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,12,0.0527277,16,10.1021/jo00045a004
115,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,13,0.0106351,16,10.1021/jo00045a004
116,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,14,0.0534923,16,10.1021/jo00045a004
117,-0.135613928,0.493178579,0.362858888,-0.39584606,-0.015271839,-0.063225412,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,15,-0.0294799,16,10.1021/jo00045a004
118,-0.135613928,-0.173488088,0.029525555,0.10415394,-0.015271839,-0.063225412,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,16,0.1780112,16,10.1021/jo00045a004
119,-0.135613928,-0.173488088,0.029525555,0.10415394,-0.015271839,-0.063225412,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,19,0.1769678,16,10.1021/jo00045a004
120,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,20,0.0780875,16,10.1021/jo00045a004
121,-0.135613928,-0.173488088,-0.303807778,0.60415394,-0.015271839,-0.063225412,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,22,-0.0223167,16,10.1021/jo00045a004
122,-0.135613928,0.493178579,0.362858888,-0.39584606,-0.015271839,-0.063225412,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,23,0.0608436,16,10.1021/jo00045a004
123,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,24,0.0381157,16,10.1021/jo00045a004
124,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,25,0.0581787,16,10.1021/jo00045a004
125,-0.135613928,-0.173488088,-0.303807778,0.60415394,-0.015271839,-0.063225412,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,27,-0.0180829,16,10.1021/jo00045a004
126,-0.135613928,-0.506821421,-0.303807778,0.60415394,-0.015271839,-0.063225412,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,0,0.0158347,18,10.1021/jo00045a004
127,-0.135613928,0.159845245,0.029525555,-0.39584606,-0.015271839,0.436774588,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,4,0.0267379,18,10.1021/jo00045a004
128,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,5,0.0310769,18,10.1021/jo00045a004
129,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,6,0.0675897,18,10.1021/jo00045a004
130,-0.135613928,-0.173488088,-0.303807778,0.60415394,-0.015271839,-0.063225412,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,8,0.0238967,18,10.1021/jo00045a004
131,-0.135613928,0.493178579,0.362858888,-0.39584606,-0.015271839,-0.063225412,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,9,0.0650138,18,10.1021/jo00045a004
132,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,10,0.0622905,18,10.1021/jo00045a004
133,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,11,0.0985837,18,10.1021/jo00045a004
134,-0.135613928,0.493178579,0.362858888,-0.39584606,-0.015271839,-0.063225412,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,12,0.1227975,18,10.1021/jo00045a004
135,-0.135613928,0.493178579,0.362858888,-0.39584606,-0.015271839,-0.063225412,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,13,0.141192,18,10.1021/jo00045a004
