,Buried_Volume_C,Buried_Volume_H_max,Local_Electrophilicity_C,Local_Electrophilicity_H_max,Local_Nucleophilicity_C,Local_Nucleophilicity_H_max,Pyramidalization_C,Pyramidalization_H_max,Radical_H_max,charge_C,charge_H_max,dual_C,dual_H_max,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
103,0.38436,0.49926,-0.00045,0.0031,-0.00492,0.024023,0.80037,1.696644,0.012823,-0.10523,0.037085,0.00485,-0.007484,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0,0.0,1,10.1021/jo00045a004
104,0.53393,0.47052,0.00019,0.00118,0.0037,0.01605,0.78842,1.599247,0.007946,-0.00904,0.023358,-0.00386,-0.016208,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1,100.0,1,10.1021/jo00045a004
105,0.50809,0.488655,-0.00146,0.006176,-0.00224,0.032831,0.81534,1.638512,0.018875,-0.06493,0.032241,0.00046,-0.018063,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,3,0.0,1,10.1021/jo00045a004
106,0.5876,0.620673,-0.00094,0.00495,-0.00365,0.03783,0.782,1.654534,0.020239,-0.05537,0.031534,0.00275,-0.019337,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,4,0.0,1,10.1021/jo00045a004
107,0.62731,0.632513,-0.00193,0.006677,-0.0043,0.029874,0.81426,1.622066,0.016414,-0.06411,0.040082,0.00209,-0.020167,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,5,0.0,1,10.1021/jo00045a004
108,0.6537,0.53496,-0.00038,0.001476,0.00114,0.017652,0.83015,1.608786,0.008863,-0.01744,0.02667,-0.00179,-0.01758,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,6,0.0,1,10.1021/jo00045a004
109,0.36341,0.444751,-0.00274,0.006915,-0.00509,0.01945,0.80454,1.693971,0.013452,-0.10482,0.035274,0.00184,-0.010633,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,7,0.0,1,10.1021/jo00045a004
110,0.74484,0.588759,0.00011,0.003051,0.00056,0.021537,0.76892,1.588752,0.011684,-0.03129,0.027303,-0.00047,-0.019705,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,8,0.0,1,10.1021/jo00045a004
111,0.5645,0.572022,-0.00292,0.008328,-0.00598,0.023011,0.76461,1.665411,0.016017,-0.06189,0.035977,0.00258,-0.004579,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,9,0.0,1,10.1021/jo00045a004
112,0.52355,0.498177,-0.00244,0.004911,-0.00422,0.022854,0.75073,1.675013,0.013566,-0.0596,0.028272,0.0013,-0.010845,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,10,0.0,1,10.1021/jo00045a004
