,C_n_charge_avg,gas_charge_C,Buried_Volume_C_MMFF,Buried_Volume_H_max_MFF,S_bur_2.0_avg,L_cc1_min,Pyramidalization_H_max,num_O,Pyramidalization_H_max_MFF,gas_charge_H_max,dual_H_max,charge_C,Bmax_2.0_min,Buried_Volume_C,Bmin_3.0_avg,Bmax_2.0_avg,Bmin_2.0_avg,Local_Nucleophilicity_H_max,V_occ_avg,num_H,num_C,Pyramidalization_C_MFF,L_ch1_avg,bde_avg,n_Csp3,C_charge,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
54,-0.04423,-0.05646,0.523778,0.437867,56.725577,4.2,1.999617,0,1.997827,0.06266,0.039176,-0.03363,4.980462,0.52666,0.006844,4.980462,0.95,0.054612,116.81675,1,2,0.005158,2.8,110.87873840332033,0,-0.130157,CC(O)c1ccccc1,4,0.0,1,10.1016/S0040-4039(00)78488-7
55,-0.135167,-0.0619,0.42488,0.32809,50.97662,4.2,1.999236,0,1.999375,0.06228,0.018709,-0.03051,0.982344,0.426,0.0,0.982344,0.95,0.078262,116.82675,1,2,0.00149,2.15,110.9868621826172,0,-0.137978,CC(O)c1ccccc1,5,0.0,1,10.1016/S0040-4039(00)78488-7
56,-0.138682,-0.06225,0.418672,0.328253,50.884418,4.25,1.999858,0,1.999682,0.06227,0.021015,-0.03172,0.982344,0.41857,0.0,0.982344,0.95,0.079137,116.82675,1,2,0.000759,2.15,111.30487060546876,0,-0.140177,CC(O)c1ccccc1,6,0.0,1,10.1016/S0040-4039(00)78488-7
57,0.053087,-0.03469,0.313129,0.37553,40.075777,4.75,1.703051,0,1.690854,0.02603,-0.026874,-0.11891,3.22374,0.31468,0.015271,6.103277,0.95,0.072788,122.3695,3,1,0.813631,3.166667,101.62447357177734,1,-0.225392,CC(O)c1ccc(F)cc1,0,1.98019801980198,1,10.1016/S0040-4039(00)78488-7
58,-0.220028,0.07615,0.514192,0.445717,69.669765,2.9,1.603739,1,1.5982,0.06493,-0.022222,0.11186,3.58469,0.51484,0.0,3.58469,0.95,0.064736,122.378625,1,2,0.787833,2.3,82.55330657958984,1,0.053087,CC(O)c1ccc(F)cc1,1,98.01980198019804,1,10.1016/S0040-4039(00)78488-7
59,-0.053922,-0.05355,0.527179,0.443801,54.702118,4.2,1.999983,0,1.99979,0.06276,0.040133,-0.03069,5.001,0.52811,0.0,5.001,0.95,0.057727,122.3705,1,2,0.0005,2.9,111.10871124267578,0,-0.103163,CC(O)c1ccc(F)cc1,4,0.0,1,10.1016/S0040-4039(00)78488-7
60,0.012769,-0.02595,0.458949,0.356667,52.108261,4.25,1.999594,0,1.999612,0.06537,0.030558,-0.04958,1.004988,0.45887,0.0,1.004988,0.9852,0.066726,122.357375,1,2,0.000928,2.15,113.59943389892578,0,-0.159619,CC(O)c1ccc(F)cc1,5,0.0,1,10.1016/S0040-4039(00)78488-7
61,0.072536,-0.03469,0.312919,0.37228,40.044136,5.1,1.70327,0,1.690607,0.02603,-0.015738,-0.11895,3.220637,0.31479,0.025832,6.531903,0.95,0.060276,131.405125,3,1,0.813489,3.116667,101.62448120117188,1,-0.238286,CC(O)c1ccc(Cl)cc1,0,2.912621359223301,1,10.1016/S0040-4039(00)78488-7
62,-0.219135,0.07615,0.513494,0.443778,69.659383,2.9,1.604616,1,1.608966,0.06493,-0.0131,0.11175,3.58469,0.51462,0.0,3.58469,0.95,0.055066,131.405625,1,2,0.790259,2.15,82.55332946777344,1,0.072536,CC(O)c1ccc(Cl)cc1,1,97.0873786407767,1,10.1016/S0040-4039(00)78488-7
63,-0.039105,-0.05498,0.497216,0.396297,54.599434,4.5,1.999847,0,1.999625,0.06271,0.036579,-0.02923,4.981967,0.52874,0.0,4.981967,0.95,0.053344,131.413625,1,2,0.000889,2.9,111.03915405273438,0,-0.132804,CC(O)c1ccc(Cl)cc1,4,0.0,1,10.1016/S0040-4039(00)78488-7
64,-0.063958,-0.04316,0.480048,0.38214,53.293848,4.25,1.999443,0,1.999977,0.06385,0.031889,-0.04001,3.775248,0.48397,0.0,3.775248,0.95,0.05744,131.390875,1,2,5.4e-05,2.15,112.76192474365234,0,-0.123971,CC(O)c1ccc(Cl)cc1,5,0.0,1,10.1016/S0040-4039(00)78488-7
65,0.043926,-0.03469,0.312739,0.37521,39.970996,5.25,1.708812,0,1.690853,0.02603,-0.002386,-0.10927,2.5,0.31742,0.019557,6.480306,0.95,0.04777,135.179833,3,1,0.81364,3.183333,101.62448120117188,1,-0.225009,CC(O)c1ccc(Br)cc1,0,2.9411764705882355,1,10.1016/S0040-4039(00)78488-7
